"Monthly Climate Statistics for 'HOBART AIRPORT' [094008]"
"Created on [ 13 Apr 2022 14:27:45 GMT+00:00]"

"094008 HOBART AIRPORT"
"Commenced: 1958"
"Last Record: 2022"
"Latitude:   42.83 Degrees South"
"Longitude:  147.50 Degrees East"
"Elevation:       4 m"
"State: TAS"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean maximum temperature (Degrees C) for years 1958 to 2022 ",22.7,22.3,20.9,18.2,15.3,13.0,12.6,13.5,15.5,17.4,19.1,20.8,17.6,64,1958,2022
"Highest temperature (Degrees C) for years 1958 to 2022 ",41.4,39.8,38.1,31.8,25.6,19.6,20.4,23.7,31.1,33.4,38.5,40.8,41.4,64,1958,2022
"Date of Highest temperature for years 1958 to 2022 ",31 Jan  2020,15 Feb  1982,02 Mar  2019,03 Apr  2021,01 May  1997,07 Jun  2015,30 Jul  1975,31 Aug  2006,27 Sep  1987,12 Oct  2006,23 Nov  1966,30 Dec  2019,31 Jan  2020,N/A,1958,2022
"Lowest maximum temperature (Degrees C) for years 1958 to 2022 ",13.2,9.7,12.1,8.9,7.8,4.5,5.4,5.8,7.2,6.9,10.5,11.1,4.5,64,1958,2022
"Date of Lowest maximum temperature for years 1958 to 2022 ",04 Jan  2000,23 Feb  1964,08 Mar  1987,25 Apr  1967,24 May  1968,18 Jun  1985,09 Jul  1996,04 Aug  1974,19 Sep  1994,23 Oct  1958,11 Nov  1965,12 Dec  1964,18 Jun  1985,N/A,1958,2022
"Decile 1 maximum temperature (Degrees C) for years 1958 to 2022 ",17.5,17.4,16.2,13.9,11.8,9.8,9.7,10.1,11.5,12.9,14.3,16.0, ,59,1958,2022
"Decile 9 maximum temperature (Degrees C) for years 1958 to 2022 ",28.6,28.2,26.2,22.8,19.0,16.2,15.4,16.8,19.3,22.5,24.4,26.0, ,59,1958,2022
"Mean number of days >= 30 Degrees C for years 1958 to 2022 ",2.5,1.6,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,1.3,7.1,64,1958,2022
"Mean number of days >= 35 Degrees C for years 1958 to 2022 ",0.6,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.4,64,1958,2022
"Mean number of days >= 40 Degrees C for years 1958 to 2022 ",0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,64,1958,2022
